Square_Footage,Bedrooms,House_Age_Years,Distance_To_City_Miles,Sale_Price
3504,3,20,6.4,230888
2852,4,24,9.4,243392
2465,5,15,14.7,190507
2533,5,7,25.1,114963
4002,2,22,15.9,191121
2407,4,27,10.2,189214
1217,4,8,7.2,191160
1308,5,21,7.9,173933
1965,3,14,5.2,166955
3173,4,43,2.9,239708
1035,4,18,5.5,154171
1258,2,5,19.4,80000
2332,4,27,28.6,80000
2641,2,13,4.2,246167
1927,3,20,22.2,80000
3332,3,26,10.9,245539
3268,4,9,9.2,243808
2361,4,16,5.7,245870
3164,3,4,14.0,191351
1751,3,4,17.9,93455
1321,3,3,4.9,171758
2138,4,9,7.0,177577
1038,4,39,11.4,80000
3294,3,41,12.3,150443
3327,3,61,11.1,113244
2400,4,55,3.0,168171
2659,4,24,12.6,177328
2280,2,26,3.3,197530
3233,3,29,21.0,120859
2521,3,16,6.4,221293
1415,3,4,15.1,92689
1400,4,4,6.8,197266
4052,4,7,6.1,323850
2692,3,10,11.6,187704
2069,4,13,7.1,217764
3798,3,12,10.4,275742
2609,4,8,9.7,262322
3666,4,8,5.9,274925
4038,4,30,5.2,250084
3432,3,2,2.0,290032
3464,3,17,13.0,229656
4031,2,5,8.2,257021
3750,3,6,12.2,229849
2586,3,10,10.5,184195
1683,2,6,9.9,133266
2487,4,10,8.4,259671
2405,4,22,4.0,257483
2082,4,31,20.9,80000
3040,5,43,5.1,257593
2341,4,6,6.4,231613
2542,2,3,5.9,265120
2687,3,8,5.8,235525
2575,5,11,2.2,289451
2341,4,19,5.7,243681
3192,4,25,17.2,202121
2691,5,14,3.8,310401
2177,3,7,18.4,132947
2566,1,51,15.0,80000
1704,2,20,5.3,183472
2051,1,16,6.5,215393
1462,2,12,18.3,80000
3713,1,6,6.7,247369
2216,3,16,13.9,172826
2890,4,10,5.4,257846
3923,2,3,3.7,326294
4553,3,33,3.8,276798
3762,3,11,6.8,263102
2174,3,11,8.7,167428
2650,4,11,3.3,272957
3810,3,9,5.9,241998
3731,3,12,1.0,299326
2994,2,16,9.1,167675
2696,2,3,16.1,150056
3155,3,37,6.8,221996
2391,4,22,9.7,194855
1376,4,26,6.2,162557
2961,5,12,20.6,158970
2070,3,33,33.5,80000
1676,3,6,13.4,141991
3578,2,11,22.7,106447
3052,4,11,5.9,294205
1423,4,13,8.6,123973
2217,4,5,3.5,267340
3587,4,12,14.3,196797
2861,3,18,1.5,244539
3071,4,7,11.5,255629
2048,3,13,4.4,214902
2504,5,30,3.7,241587
2716,2,9,12.6,164137
3762,3,18,1.0,317157
1718,5,9,12.9,205583
2959,3,11,16.3,199482
2475,3,38,13.4,106851
2741,1,22,8.1,188918
2095,3,6,2.1,236025
2733,4,16,10.6,233834
1811,2,10,12.8,115257
1883,3,27,4.2,207401
4458,3,12,1.4,316688
1652,4,3,4.2,187512
2639,4,14,2.6,272206
1849,3,6,1.4,217687
2915,3,11,1.6,284010
2889,3,46,7.5,153616
3529,4,11,14.8,208924
1627,4,2,30.6,80000
3324,2,17,4.4,255785
2494,3,10,34.7,80000
2401,5,6,6.8,261168
2801,4,3,9.8,254568
3895,5,27,2.1,287848
1796,2,4,4.4,190696
3277,4,12,5.7,317446
2094,3,17,6.7,198416
2143,3,39,19.4,80000
3098,4,8,2.2,279751
2916,3,7,7.7,244030
3218,2,2,6.3,260348
3865,1,9,3.8,271559
3612,3,16,1.8,300079
2484,2,25,5.2,172965
2790,3,8,29.2,80000
4438,4,9,6.7,309897
2650,4,32,14.3,125168
4265,3,30,2.7,293967
2482,3,5,0.6,260087
4578,5,37,18.0,162314
2461,3,6,1.9,273090
958,1,6,8.2,101318
1503,4,12,3.6,193528
2550,1,8,15.8,124093
1733,5,8,9.1,171088
3113,2,17,6.6,240673
3462,3,17,15.5,199727
